observation_id	species	size_category	measurement	value
14	setosa	small	sepal_width	3.0
119	virginica	large	petal_length	6.9
110	virginica	large	petal_length	6.1
101	virginica	large	petal_length	6.0
118	virginica	large	petal_length	6.7
145	virginica	large	petal_length	5.7
136	virginica	large	petal_length	6.1
106	virginica	large	petal_length	6.6
144	virginica	large	petal_length	5.9
137	virginica	large	petal_length	5.6
141	virginica	large	petal_length	5.6
123	virginica	large	petal_length	6.7
121	virginica	large	petal_length	5.7
132	virginica	large	petal_length	6.4
105	virginica	large	petal_length	5.8
149	virginica	large	petal_length	5.4
103	virginica	large	petal_length	5.9
133	virginica	large	petal_length	5.6
115	virginica	large	petal_length	5.1
116	virginica	large	petal_length	5.3
125	virginica	large	petal_length	5.7
146	virginica	large	petal_length	5.2
129	virginica	large	petal_length	5.6
142	virginica	large	petal_length	5.1
131	virginica	large	petal_length	6.1
113	virginica	large	petal_length	5.5
140	virginica	large	petal_length	5.4
108	virginica	large	petal_length	6.3
126	virginica	large	petal_length	6.0
109	virginica	large	petal_length	5.8
148	virginica	large	petal_length	5.2
111	virginica	large	petal_length	5.1
104	virginica	large	petal_length	5.6
112	virginica	large	petal_length	5.3
114	virginica	large	petal_length	5.0
117	virginica	large	petal_length	5.5
138	virginica	large	petal_length	5.5
122	virginica	large	petal_length	4.9
102	virginica	large	petal_length	5.1
143	virginica	large	petal_length	5.1
147	virginica	large	petal_length	5.0
130	virginica	large	petal_length	5.8
150	virginica	large	petal_length	5.1
124	virginica	large	petal_length	4.9
128	virginica	large	petal_length	4.9
71	versicolor	large	petal_length	4.8
127	virginica	large	petal_length	4.8
139	virginica	large	petal_length	4.8
78	versicolor	large	petal_length	5.0
84	versicolor	large	petal_length	5.1
135	virginica	large	petal_length	5.6
107	virginica	large	petal_length	4.5
134	virginica	large	petal_length	5.1
57	versicolor	large	petal_length	4.7
120	virginica	large	petal_length	5.0
53	versicolor	large	petal_length	4.9
73	versicolor	large	petal_length	4.9
86	versicolor	large	petal_length	4.5
87	versicolor	large	petal_length	4.7
55	versicolor	large	petal_length	4.6
52	versicolor	large	petal_length	4.5
67	versicolor	large	petal_length	4.5
69	versicolor	large	petal_length	4.5
79	versicolor	large	petal_length	4.5
85	versicolor	large	petal_length	4.5
77	versicolor	large	petal_length	4.8
51	versicolor	large	petal_length	4.7
64	versicolor	large	petal_length	4.7
92	versicolor	large	petal_length	4.6
62	versicolor	large	petal_length	4.2
66	versicolor	large	petal_length	4.4
76	versicolor	large	petal_length	4.4
59	versicolor	large	petal_length	4.6
56	versicolor	large	petal_length	4.5
88	versicolor	large	petal_length	4.4
74	versicolor	large	petal_length	4.7
75	versicolor	small	petal_length	4.3
98	versicolor	small	petal_length	4.3
95	versicolor	small	petal_length	4.2
97	versicolor	small	petal_length	4.2
60	versicolor	small	petal_length	3.9
89	versicolor	small	petal_length	4.1
100	versicolor	small	petal_length	4.1
91	versicolor	small	petal_length	4.4
54	versicolor	small	petal_length	4.0
72	versicolor	small	petal_length	4.0
90	versicolor	small	petal_length	4.0
96	versicolor	small	petal_length	4.2
93	versicolor	small	petal_length	4.0
65	versicolor	small	petal_length	3.6
83	versicolor	small	petal_length	3.9
70	versicolor	small	petal_length	3.9
81	versicolor	small	petal_length	3.8
68	versicolor	small	petal_length	4.1
63	versicolor	small	petal_length	4.0
82	versicolor	small	petal_length	3.7
61	versicolor	small	petal_length	3.5
80	versicolor	small	petal_length	3.5
99	versicolor	small	petal_length	3.0
58	versicolor	small	petal_length	3.3
94	versicolor	small	petal_length	3.3
44	setosa	small	petal_length	1.6
24	setosa	small	petal_length	1.7
45	setosa	small	petal_length	1.9
6	setosa	small	petal_length	1.7
27	setosa	small	petal_length	1.6
16	setosa	small	petal_length	1.5
22	setosa	small	petal_length	1.5
32	setosa	small	petal_length	1.5
17	setosa	small	petal_length	1.3
19	setosa	small	petal_length	1.7
20	setosa	small	petal_length	1.5
7	setosa	small	petal_length	1.4
18	setosa	small	petal_length	1.4
46	setosa	small	petal_length	1.4
41	setosa	small	petal_length	1.3
42	setosa	small	petal_length	1.3
25	setosa	small	petal_length	1.9
21	setosa	small	petal_length	1.7
12	setosa	small	petal_length	1.6
26	setosa	small	petal_length	1.6
30	setosa	small	petal_length	1.6
31	setosa	small	petal_length	1.6
47	setosa	small	petal_length	1.6
4	setosa	small	petal_length	1.5
8	setosa	small	petal_length	1.5
11	setosa	small	petal_length	1.5
28	setosa	small	petal_length	1.5
35	setosa	small	petal_length	1.5
40	setosa	small	petal_length	1.5
49	setosa	small	petal_length	1.5
1	setosa	small	petal_length	1.4
2	setosa	small	petal_length	1.4
5	setosa	small	petal_length	1.4
9	setosa	small	petal_length	1.4
29	setosa	small	petal_length	1.4
34	setosa	small	petal_length	1.4
48	setosa	small	petal_length	1.4
50	setosa	small	petal_length	1.4
3	setosa	small	petal_length	1.3
37	setosa	small	petal_length	1.3
39	setosa	small	petal_length	1.3
43	setosa	small	petal_length	1.3
15	setosa	small	petal_length	1.2
36	setosa	small	petal_length	1.2
23	setosa	small	petal_length	1.0
10	setosa	small	petal_length	1.5
33	setosa	small	petal_length	1.5
13	setosa	small	petal_length	1.4
38	setosa	small	petal_length	1.4
14	setosa	small	petal_length	1.1
119	virginica	large	petal_width	2.3
110	virginica	large	petal_width	2.5
101	virginica	large	petal_width	2.5
118	virginica	large	petal_width	2.2
145	virginica	large	petal_width	2.5
136	virginica	large	petal_width	2.3
106	virginica	large	petal_width	2.1
144	virginica	large	petal_width	2.3
137	virginica	large	petal_width	2.4
141	virginica	large	petal_width	2.4
123	virginica	large	petal_width	2.0
121	virginica	large	petal_width	2.3
132	virginica	large	petal_width	2.0
105	virginica	large	petal_width	2.2
149	virginica	large	petal_width	2.3
103	virginica	large	petal_width	2.1
133	virginica	large	petal_width	2.2
115	virginica	large	petal_width	2.4
116	virginica	large	petal_width	2.3
125	virginica	large	petal_width	2.1
146	virginica	large	petal_width	2.3
129	virginica	large	petal_width	2.1
142	virginica	large	petal_width	2.3
131	virginica	large	petal_width	1.9
113	virginica	large	petal_width	2.1
140	virginica	large	petal_width	2.1
108	virginica	large	petal_width	1.8
126	virginica	large	petal_width	1.8
109	virginica	large	petal_width	1.8
148	virginica	large	petal_width	2.0
111	virginica	large	petal_width	2.0
104	virginica	large	petal_width	1.8
112	virginica	large	petal_width	1.9
114	virginica	large	petal_width	2.0
117	virginica	large	petal_width	1.8
138	virginica	large	petal_width	1.8
122	virginica	large	petal_width	2.0
102	virginica	large	petal_width	1.9
143	virginica	large	petal_width	1.9
147	virginica	large	petal_width	1.9
130	virginica	large	petal_width	1.6
150	virginica	large	petal_width	1.8
124	virginica	large	petal_width	1.8
128	virginica	large	petal_width	1.8
71	versicolor	large	petal_width	1.8
127	virginica	large	petal_width	1.8
139	virginica	large	petal_width	1.8
78	versicolor	large	petal_width	1.7
84	versicolor	large	petal_width	1.6
135	virginica	large	petal_width	1.4
107	virginica	large	petal_width	1.7
134	virginica	large	petal_width	1.5
57	versicolor	large	petal_width	1.6
120	virginica	large	petal_width	1.5
53	versicolor	large	petal_width	1.5
73	versicolor	large	petal_width	1.5
86	versicolor	large	petal_width	1.6
87	versicolor	large	petal_width	1.5
55	versicolor	large	petal_width	1.5
52	versicolor	large	petal_width	1.5
67	versicolor	large	petal_width	1.5
69	versicolor	large	petal_width	1.5
79	versicolor	large	petal_width	1.5
85	versicolor	large	petal_width	1.5
77	versicolor	large	petal_width	1.4
51	versicolor	large	petal_width	1.4
64	versicolor	large	petal_width	1.4
92	versicolor	large	petal_width	1.4
62	versicolor	large	petal_width	1.5
66	versicolor	large	petal_width	1.4
76	versicolor	large	petal_width	1.4
59	versicolor	large	petal_width	1.3
56	versicolor	large	petal_width	1.3
88	versicolor	large	petal_width	1.3
74	versicolor	large	petal_width	1.2
75	versicolor	small	petal_width	1.3
98	versicolor	small	petal_width	1.3
95	versicolor	small	petal_width	1.3
97	versicolor	small	petal_width	1.3
60	versicolor	small	petal_width	1.4
89	versicolor	small	petal_width	1.3
100	versicolor	small	petal_width	1.3
91	versicolor	small	petal_width	1.2
54	versicolor	small	petal_width	1.3
72	versicolor	small	petal_width	1.3
90	versicolor	small	petal_width	1.3
96	versicolor	small	petal_width	1.2
93	versicolor	small	petal_width	1.2
65	versicolor	small	petal_width	1.3
83	versicolor	small	petal_width	1.2
70	versicolor	small	petal_width	1.1
81	versicolor	small	petal_width	1.1
68	versicolor	small	petal_width	1.0
63	versicolor	small	petal_width	1.0
82	versicolor	small	petal_width	1.0
61	versicolor	small	petal_width	1.0
80	versicolor	small	petal_width	1.0
99	versicolor	small	petal_width	1.1
58	versicolor	small	petal_width	1.0
94	versicolor	small	petal_width	1.0
44	setosa	small	petal_width	0.6
24	setosa	small	petal_width	0.5
45	setosa	small	petal_width	0.4
6	setosa	small	petal_width	0.4
27	setosa	small	petal_width	0.4
16	setosa	small	petal_width	0.4
22	setosa	small	petal_width	0.4
32	setosa	small	petal_width	0.4
17	setosa	small	petal_width	0.4
19	setosa	small	petal_width	0.3
20	setosa	small	petal_width	0.3
7	setosa	small	petal_width	0.3
18	setosa	small	petal_width	0.3
46	setosa	small	petal_width	0.3
41	setosa	small	petal_width	0.3
42	setosa	small	petal_width	0.3
25	setosa	small	petal_width	0.2
21	setosa	small	petal_width	0.2
12	setosa	small	petal_width	0.2
26	setosa	small	petal_width	0.2
30	setosa	small	petal_width	0.2
31	setosa	small	petal_width	0.2
47	setosa	small	petal_width	0.2
4	setosa	small	petal_width	0.2
8	setosa	small	petal_width	0.2
11	setosa	small	petal_width	0.2
28	setosa	small	petal_width	0.2
35	setosa	small	petal_width	0.2
40	setosa	small	petal_width	0.2
49	setosa	small	petal_width	0.2
1	setosa	small	petal_width	0.2
2	setosa	small	petal_width	0.2
5	setosa	small	petal_width	0.2
9	setosa	small	petal_width	0.2
29	setosa	small	petal_width	0.2
34	setosa	small	petal_width	0.2
48	setosa	small	petal_width	0.2
50	setosa	small	petal_width	0.2
3	setosa	small	petal_width	0.2
37	setosa	small	petal_width	0.2
39	setosa	small	petal_width	0.2
43	setosa	small	petal_width	0.2
15	setosa	small	petal_width	0.2
36	setosa	small	petal_width	0.2
23	setosa	small	petal_width	0.2
10	setosa	small	petal_width	0.1
33	setosa	small	petal_width	0.1
13	setosa	small	petal_width	0.1
38	setosa	small	petal_width	0.1
14	setosa	small	petal_width	0.1
