observation_id,sepal_length,sepal_width,petal_length,petal_width,species,petal_area,size_category
92,6.1,3.0,4.6,1.4,versicolor,6.4399999999999995,large
62,5.9,3.0,4.2,1.5,versicolor,6.300000000000001,large
66,6.7,3.1,4.4,1.4,versicolor,6.16,large
76,6.6,3.0,4.4,1.4,versicolor,6.16,large
59,6.6,2.9,4.6,1.3,versicolor,5.9799999999999995,large
56,5.7,2.8,4.5,1.3,versicolor,5.8500000000000005,large
88,6.3,2.3,4.4,1.3,versicolor,5.720000000000001,large
74,6.1,2.8,4.7,1.2,versicolor,5.64,large
75,6.4,2.9,4.3,1.3,versicolor,5.59,small
98,6.2,2.9,4.3,1.3,versicolor,5.59,small
95,5.6,2.7,4.2,1.3,versicolor,5.460000000000001,small
97,5.7,2.9,4.2,1.3,versicolor,5.460000000000001,small
60,5.2,2.7,3.9,1.4,versicolor,5.46,small
89,5.6,3.0,4.1,1.3,versicolor,5.33,small
100,5.7,2.8,4.1,1.3,versicolor,5.33,small
91,5.5,2.6,4.4,1.2,versicolor,5.28,small
54,5.5,2.3,4.0,1.3,versicolor,5.2,small
72,6.1,2.8,4.0,1.3,versicolor,5.2,small
90,5.5,2.5,4.0,1.3,versicolor,5.2,small
96,5.7,3.0,4.2,1.2,versicolor,5.04,small
93,5.8,2.6,4.0,1.2,versicolor,4.8,small
65,5.6,2.9,3.6,1.3,versicolor,4.680000000000001,small
83,5.8,2.7,3.9,1.2,versicolor,4.68,small
70,5.6,2.5,3.9,1.1,versicolor,4.29,small
81,5.5,2.4,3.8,1.1,versicolor,4.18,small
68,5.8,2.7,4.1,1.0,versicolor,4.1,small
63,6.0,2.2,4.0,1.0,versicolor,4.0,small
82,5.5,2.4,3.7,1.0,versicolor,3.7,small
61,5.0,2.0,3.5,1.0,versicolor,3.5,small
80,5.7,2.6,3.5,1.0,versicolor,3.5,small
99,5.1,2.5,3.0,1.1,versicolor,3.3000000000000003,small
58,4.9,2.4,3.3,1.0,versicolor,3.3,small
94,5.0,2.3,3.3,1.0,versicolor,3.3,small
44,5.0,3.5,1.6,0.6,setosa,0.96,small
24,5.1,3.3,1.7,0.5,setosa,0.85,small
45,5.1,3.8,1.9,0.4,setosa,0.76,small
6,5.4,3.9,1.7,0.4,setosa,0.68,small
27,5.0,3.4,1.6,0.4,setosa,0.6400000000000001,small
16,5.7,4.4,1.5,0.4,setosa,0.6000000000000001,small
22,5.1,3.7,1.5,0.4,setosa,0.6000000000000001,small
32,5.4,3.4,1.5,0.4,setosa,0.6000000000000001,small
17,5.4,3.9,1.3,0.4,setosa,0.52,small
19,5.7,3.8,1.7,0.3,setosa,0.51,small
20,5.1,3.8,1.5,0.3,setosa,0.44999999999999996,small
7,4.6,3.4,1.4,0.3,setosa,0.42,small
18,5.1,3.5,1.4,0.3,setosa,0.42,small
46,4.8,3.0,1.4,0.3,setosa,0.42,small
41,5.0,3.5,1.3,0.3,setosa,0.39,small
42,4.5,2.3,1.3,0.3,setosa,0.39,small
25,4.8,3.4,1.9,0.2,setosa,0.38,small
21,5.4,3.4,1.7,0.2,setosa,0.34,small
12,4.8,3.4,1.6,0.2,setosa,0.32000000000000006,small
26,5.0,3.0,1.6,0.2,setosa,0.32000000000000006,small
30,4.7,3.2,1.6,0.2,setosa,0.32000000000000006,small
31,4.8,3.1,1.6,0.2,setosa,0.32000000000000006,small
47,5.1,3.8,1.6,0.2,setosa,0.32000000000000006,small
4,4.6,3.1,1.5,0.2,setosa,0.30000000000000004,small
8,5.0,3.4,1.5,0.2,setosa,0.30000000000000004,small
11,5.4,3.7,1.5,0.2,setosa,0.30000000000000004,small
28,5.2,3.5,1.5,0.2,setosa,0.30000000000000004,small
35,4.9,3.1,1.5,0.2,setosa,0.30000000000000004,small
40,5.1,3.4,1.5,0.2,setosa,0.30000000000000004,small
49,5.3,3.7,1.5,0.2,setosa,0.30000000000000004,small
1,5.1,3.5,1.4,0.2,setosa,0.27999999999999997,small
2,4.9,3.0,1.4,0.2,setosa,0.27999999999999997,small
5,5.0,3.6,1.4,0.2,setosa,0.27999999999999997,small
9,4.4,2.9,1.4,0.2,setosa,0.27999999999999997,small
29,5.2,3.4,1.4,0.2,setosa,0.27999999999999997,small
34,5.5,4.2,1.4,0.2,setosa,0.27999999999999997,small
48,4.6,3.2,1.4,0.2,setosa,0.27999999999999997,small
50,5.0,3.3,1.4,0.2,setosa,0.27999999999999997,small
3,4.7,3.2,1.3,0.2,setosa,0.26,small
37,5.5,3.5,1.3,0.2,setosa,0.26,small
39,4.4,3.0,1.3,0.2,setosa,0.26,small
43,4.4,3.2,1.3,0.2,setosa,0.26,small
15,5.8,4.0,1.2,0.2,setosa,0.24,small
36,5.0,3.2,1.2,0.2,setosa,0.24,small
23,4.6,3.6,1.0,0.2,setosa,0.2,small
10,4.9,3.1,1.5,0.1,setosa,0.15000000000000002,small
33,5.2,4.1,1.5,0.1,setosa,0.15000000000000002,small
13,4.8,3.0,1.4,0.1,setosa,0.13999999999999999,small
38,4.9,3.6,1.4,0.1,setosa,0.13999999999999999,small
14,4.3,3.0,1.1,0.1,setosa,0.11000000000000001,small
